['BSW-LP', ['UST', 'BUSD'], ['0x23396cF899Ca06c4472205fC903bDB4de249D6fC', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LTC', 'USDT'], ['0x4338665CBB7B2485A8855A139b75D5e34AB0DB94', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['VAI', 'BUSD'], ['0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['XRP', 'WBNB'], ['0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'LINK'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD']]
['BSW-LP', ['ADA', 'USDT'], ['0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['FEG', 'WBNB'], ['0xacFC95585D80Ab62f67A14C566C1b7a49Fe91167', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'BAKE'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5']]
['BSW-LP', ['FIL', 'USDT'], ['0x0D8Ce2A99Bb6e3B7Db580eD848240e4a0F9aE153', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['WBNB', 'XVS'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63']]
['BSW-LP', ['TWT', 'WBNB'], ['0x4B0F1812e5Df2A09796481Ff14017e6005508003', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'BUNNY'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51']]
['BSW-LP', ['IRON', 'BUSD'], ['0x7b65B489fE53fCE1F6548Db886C08aD73111DDd8', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['WEX', 'WBNB'], ['0xa9c41A46a6B3531d28d5c32F6633dd2fF05dFB90', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'BabyDoge'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xc748673057861a797275CD8A068AbB95A902e8de']]
['BSW-LP', ['SAFEMOON', 'WBNB'], ['0x8076C74C5e3F5852037F31Ff0093Eeb8c8ADd8D3', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['SXP', 'WBNB'], ['0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['TRX', 'WBNB'], ['0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['TKO', 'WBNB'], ['0x9f589e3eabe42ebC94A44727b3f3531C0c877809', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'REEF'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF21768cCBC73Ea5B6fd3C687208a7c2def2d966e']]
['BSW-LP', ['WBNB', 'SFP'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb']]
['BSW-LP', ['BSW', 'BFG'], ['0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86']]
['BSW-LP', ['USDT', 'BFG'], ['0x55d398326f99059fF775485246999027B3197955', '0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86']]
['BSW-LP', ['BFG', 'BUSD'], ['0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['ALPACA', 'BUSD'], ['0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['MBOX', 'WBNB'], ['0x3203c9E46cA618C8C1cE5dC67e7e9D75f5da2377', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['ALPHA', 'WBNB'], ['0xa1faa113cbE53436Df28FF0aEe54275c13B40975', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BTT', 'WBNB'], ['0x8595F9dA7b868b1822194fAEd312235E43007b49', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['ADA', 'BSW'], ['0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['ETH', 'SUSHI'], ['0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x947950BcC74888a40Ffa2593C5798F11Fc9124C4']]
['BSW-LP', ['WBNB', 'BIFI'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xCa3F508B8e4Dd382eE878A314789373D80A5190A']]
['BSW-LP', ['WIN', 'WBNB'], ['0xaeF0d72a118ce24feE3cD1d43d383897D05B4e99', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['TRX', 'BFG'], ['0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B', '0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86']]
['BSW-LP', ['WBNB', 'BELT'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f']]
['BSW-LP', ['WBNB', 'DPET'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xfb62AE373acA027177D1c18Ee0862817f9080d08']]
['BSW-LP', ['RABBIT', 'BUSD'], ['0x95a1199EBA84ac5f19546519e287d43D2F0E1b41', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['BUSD', 'HTp8'], ['0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xf3801dee2e8CDfd90C6C7061A3b4672AB4d187E9']]
['BSW-LP', ['NABOX', 'BUSD'], ['0x755f34709E369D37C6Fa52808aE84A32007d1155', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['SKILL', 'WBNB'], ['0x154A9F9cbd3449AD22FDaE23044319D6eF2a1Fab', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['AXS', 'WBNB'], ['0x715D400F88C167884bbCc41C5FeA407ed4D2f8A0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
